Question,Answer
"1. When did the Maharashtra Land Revenue Code, 1966 receive the assent of the President?","The Maharashtra Land Revenue Code, 1966 received the assent of the President on the 22nd day of December 1966."
"2. How many times has the Maharashtra Land Revenue Code, 1966 been amended?","The Maharashtra Land Revenue Code, 1966 has been amended multiple times. Some of the amendments include Mah. 30 of 1968, Mah. 41 of 1973, Mah. 35 of 1974, Mah. 11 of 1976, Mah. 18 of 1976, Mah. 35 of 1976, Mah. 12 of 1977, Mah. 30 of 1977, Mah. 8 of 1979, Mah. 47 of 1981, Mah. 5 of 1982, Mah. 32 of 1986, Mah. 1 of 1991, Mah. 17 of 1993, Mah. 26 of 1994, Mah. 6 of 1998, Mah. 23 of 1999, and Mah. 9 of 2002."
3. What was the purpose of Maharashtra Act No. XLI of 1966?,"The purpose of Maharashtra Act No. XLI of 1966, also known as the Maharashtra Land Revenue Code, 1966, was to establish regulations and guidelines related to land revenue in the state of Maharashtra. It aimed to provide a legal framework for the assessment and collection of land revenue, as well as to define the rights and responsibilities of landowners and tenants in the state."
"4. What is the significance of the Maharashtra Land Revenue Code, 1966 in relation to the City of Bombay?","The Maharashtra Land Revenue Code, 1966 is significant in relation to the City of Bombay because it deems the City of Bombay to be constituted as a district, excludes the Bombay Suburban District from the Konkan Division, and establishes a new Division called the Bombay Division under the said Code. This Division consists of the district of the City of Bombay and the Bombay Suburban District."
"5. How can the boundaries of the Bombay Division be altered according to the Maharashtra Land Revenue Code, 1966?","According to the Maharashtra Land Revenue Code, 1966, the boundaries of the Bombay Division can be altered by the State Government through a notification in the Official Gazette."
"6. Where can one find the Statement of Objects and Reasons for the Maharashtra Land Revenue Code, 1966?","The Statement of Objects and Reasons for the Maharashtra Land Revenue Code, 1966 can be found in the Maharashtra Government Gazette, 1965 Part V, Extra pages 756-763."
"7. What is the importance of the date of commencement of an Act in relation to the Maharashtra Land Revenue Code, 1966?","The date of commencement of an Act is important because it signifies when the provisions of the Act come into effect and start being enforced. In the context of the Maharashtra Land Revenue Code, 1966, the date of commencement indicates when the regulations and rules outlined in the code become applicable and binding."
"8. How was the Bombay Suburban District affected by the Maharashtra Land Revenue Code, 1966?","The Bombay Suburban District was deemed to be excluded from the Konkan Division and included in the newly constituted Bombay Division under the Maharashtra Land Revenue Code, 1966."
"9. What is the process for constituting a new Division under the Maharashtra Land Revenue Code, 1966?","The process for constituting a new Division under the Maharashtra Land Revenue Code, 1966 involves the State Government specifying the areas and names of the new Division through a notification in the Official Gazette. This process is outlined in Section 2 of the Maharashtra Act No. XLI of 1966."
"10. How has the Maharashtra Land Revenue Code, 1966 evolved over time with various amendments?","The Maharashtra Land Revenue Code, 1966 has evolved over time with various amendments. Some of the key amendments include Mah. 30 of 1968, Mah. 41 of 1973, Mah. 35 of 1974, Mah. 11 of 1976, Mah. 18 of 1976, Mah. 35 of 1976, Mah. 12 of 1977, Mah. 30 of 1977, Mah. 8 of 1979, Mah. 47 of 1981, Mah. 5 of 1982, Mah. 32 of 1986, Mah. 1 of 1991, Mah. 17 of 1993, Mah. 26 of 1994, Mah. 6 of 1998, Mah. 23 of 1999, and Mah. 9 of 2002. These amendments have shaped and updated the original code over the years."
