Question,Answer
1. What is the title of the government act mentioned in the text?,"The title of the government act mentioned in the text is ""The Maharashtra Land Revenue Code, 1966."""
"2. In which year was the Maharashtra Land Revenue Code, 1966 enacted?","The Maharashtra Land Revenue Code, 1966 was enacted in the year 1966."
3. When was the act last modified as per the text?,"The Maharashtra Land Revenue Code was last modified up to the 26th of May, 2010, as per the text provided."
4. Who is responsible for printing the act in India?,"The act is printed in India by the Manager, Government Central Press, Mumbai, and published by the Director, Government Printing, Stationery, and Publications, Maharashtra State, Mumbai 400 004."
"5. Who is the Director of Government Printing, Stationery, and Publications in Maharashtra State?","I don't have the most recent information to provide the current Director of Government Printing, Stationery, and Publications in Maharashtra State."
6. What is the price of the printed copy of the act mentioned in the text?,The price of the printed copy of the act mentioned in the text is Rs. 20.00.
7. Where is the Government Central Press located?,"The Government Central Press is located in Mumbai, India."
8. What department does the Maharashtra Act No. XLI of 1966 fall under?,The Maharashtra Act No. XLI of 1966 falls under the Law and Judiciary Department of the Government of Maharashtra.
"9. What is the purpose of the Maharashtra Land Revenue Code, 1966?","The Maharashtra Land Revenue Code, 1966, is a piece of legislation that governs land revenue matters in the state of Maharashtra, India. It provides a legal framework for the assessment and collection of land revenue, as well as regulations related to land ownership, tenancy, and other land-related issues in the state."
10. How can individuals access a copy of the act for reference?,"Individuals can access a copy of the Maharashtra Land Revenue Code, 1966 by either purchasing it from the Government Printing, Stationery, and Publications department in Maharashtra State or by visiting a law library where it may be available for reference. Additionally, some government websites or legal databases may also provide access to the text of the act for reference purposes."
