Question,Answer
"1. What is the Maharashtra Land Revenue Code, 1966 about?","The Maharashtra Land Revenue Code, 1966 is a piece of legislation that governs various aspects related to land revenue in the state of Maharashtra. It includes provisions related to the assignment of lands for special purposes, regulation of land use, compensation for loss or damage caused by extinguishing public rights over government roads, setting apart unoccupied lands for specific purposes, grazing rights on free pasturage lands, and penalties for unauthorized removal of natural products from certain lands."
2. How does the Code regulate the use of pasturage lands?,"The Maharashtra Land Revenue Code, 1966 regulates the use of pasturage lands by assigning them for specific purposes such as free pasturage of village cattle. The right of grazing on these lands is limited to the cattle of the village or villages to which the lands belong or have been assigned. The rules for regulating this right of grazing are made by the State Government. Any disputes regarding the right of grazing are decided by the Collector, and his decision is conclusive, subject to one appeal according to the provisions of the Code."
3. What is the process for extinguishing public rights over a Government road according to the Code?,"According to the Maharashtra Land Revenue Code, 1966, the process for extinguishing public rights over a Government road involves the Collector conducting an inquiry to determine if the road is not required for public use. If the Collector is satisfied that the road is not needed for public use, a declaration is made and published in the Official Gazette stating that all public rights over the road are extinguished. The Collector also determines any compensation that should be given for substantial loss or damage likely to be caused by the extinguishment of public rights. The decision of the Collector is final, subject to appeal to the Commissioner. If compensation is awarded, it should be paid within six months from the date of the final order, with interest if not paid on time."
4. How does the Code determine compensation for the extinction of public rights over a Government road?,"The Maharashtra Land Revenue Code, 1966 determines compensation for the extinction of public rights over a Government road by having the Collector conduct an inquiry to determine the amount of compensation that should be given in cases where substantial loss or damage is likely to be caused by the proposed extinction of public rights. The Collector will follow the provisions of sections 9, 10, 11, 12, 13, 14, and 15 of the Land Acquisition Act, 1894, to determine the amount of compensation. However, it is important to note that no compensation shall be awarded for the extinction or diminution of the rights of public highway over such Government road. The decision of the Collector regarding the extinguishment of public rights and the amount of compensation is final, subject to the decision of the Commissioner in appeal. If payment is not made within six months from the final order, the Collector is required to pay the amount awarded with interest at the rate of six percent per annum."
"5. What provisions of the Land Acquisition Act, 1894 apply to the determination of compensation under the Maharashtra Land Revenue Code, 1966?","The provisions of sections 9, 10, 11, 12, 13, 14, and 15 of the Land Acquisition Act, 1894 apply to the determination of compensation under the Maharashtra Land Revenue Code, 1966."
6. What is the role of the Collector in determining compensation for the extinction of public rights over a Government road?,"The role of the Collector in determining compensation for the extinction of public rights over a Government road is outlined in the Maharashtra Land Revenue Code, 1966. The Collector is responsible for making a declaration, determining the amount of compensation for substantial loss or damage likely to be caused by the extinction of public rights, and conducting proceedings similar to those in the Land Acquisition Act, 1894, to determine the compensation amount. The decision of the Collector regarding the extinguishment of public rights and the compensation amount is final, subject to appeal to the Commissioner. If payment is not made within six months, the Collector must pay the awarded amount with interest."
7. What happens if compensation is not paid within six months from the final order according to the Code?,"If compensation is not paid within six months from the final order according to the Maharashtra Land Revenue Code, the Collector is required to pay the amount awarded along with interest at the rate of six percent per annum from the date of the final order."
8. Under what circumstances can a survey officer or the Collector set apart unoccupied lands for specific purposes under the Code?,"A survey officer or the Collector can set apart unoccupied lands for specific purposes under the Maharashtra Land Revenue Code when it is deemed necessary for purposes such as forest or fuel reserve, free pasturage of village cattle, grass or fodder reserve, burial or cremation ground, gaothan, camping ground, threshing floor, bazaar, skinning ground, public purposes like roads, lanes, parks, drains, or any other public purpose. This allocation of lands must be done in accordance with the provisions of the Code and with the sanction of the Collector."
9. How is the right of grazing on free pasturage lands regulated according to the Code?,"The right of grazing on free pasturage lands is regulated according to rules made by the State Government as mentioned in the Maharashtra Land Revenue Code. The rules set by the State Government dictate how the grazing rights on these lands are to be managed and allocated to the cattle of the village or villages to which the lands belong or have been assigned. The Collector's decision in any dispute regarding the right of grazing is conclusive, subject to one appeal according to the provisions of the Code."
10. What are the consequences for unauthorized removal of natural products from lands set apart for special purposes or owned by the Government under the Code?,"Any person who unauthorizedly removes natural products (excluding trees) from lands set apart for special purposes or owned by the Government is liable to the Government for the value of the products. In addition, they may face a fine not exceeding five times the value of the natural product removed. The value of the product and the fine are recoverable from the individual as an arrear of land revenue."
