Question,Answer
"1. What is the Maharashtra Land Revenue Code, 1966 and what does it entail?","The Maharashtra Land Revenue Code, 1966 is a legal document that outlines the rules and regulations related to land revenue in the state of Maharashtra. It includes provisions for the recovery of public moneys, the issuance of search warrants for the recovery of papers or property, the title of the state in lands and public roads, the release of individuals in jail by furnishing security, and the declaration of certain lands as the property of the state government. It also specifies the powers of the Collector and other officers in relation to the recovery of public moneys and property."
2. How can public moneys be recovered according to the Code?,"Public moneys can be recovered as arrears of revenue, and a search warrant may be issued for the recovery of papers or property according to the Maharashtra Land Revenue Code, 1966. Additionally, officers or persons in jail may secure their release by furnishing security."
3. What is the procedure for an officer or person in jail to secure their release?,"An officer or person in jail may secure their release by furnishing security. If they give sufficient security in the form specified, the Collector will cause the officer or person to be liberated and countermand the sale of any attached property, restoring it to the owner."
4. What powers does the Collector have in recovering public moneys and property?,"The Collector has the power to recover public moneys and property by issuing search warrants, detaining individuals in civil jail until they comply, taking proceedings to recover debts, issuing search warrants, and exercising powers similar to those of a Magistrate under the Code of Criminal Procedure. Additionally, the Collector can liberate individuals in custody upon receiving sufficient security and countermand the sale of attached property."
5. What lands and properties are declared as the property of the State Government according to the Code?,"According to the Maharashtra Land Revenue Code, 1966, all public roads, lanes, paths, bridges, ditches, dikes, fences, the bed of the sea, harbors, creeks below high water mark, rivers, streams, lakes, tanks, canals, watercourses, standing and flowing water, and all lands not owned by individuals capable of holding property are declared as the property of the State Government."
"6. What is the duty of individuals in possession of public moneys, papers, or property of the Government?","The duty of individuals in possession of public moneys, papers, or property of the Government is to make over the same forthwith to the Collector. Additionally, every person knowing where any such property is concealed shall be bound to give information of the same to the Collector."
7. How can an officer or person secure their release if a demand is made against them?,"An officer or person can secure their release if a demand is made against them by giving sufficient security in the form specified in Schedule B. The Collector will then cause the officer or person to be liberated and countermand the sale of any attached property, restoring it to the owner."
"8. What are the rights of the State Government in relation to public roads, water bodies, and other lands as per the Code?","As per the Maharashtra Land Revenue Code, 1966, all public roads, lanes, paths, bridges, ditches, dikes, fences, the bed of the sea, harbors, creeks below high water mark, rivers, streams, lakes, tanks, canals, watercourses, standing and flowing water, and all lands not owned by individuals are declared to be the property of the State Government. The State Government has the right to dispose of these lands as prescribed by the government, subject to the rights of way and other public or individual rights legally existing."
9. What is the role of the Collector in disposing of lands declared as the property of the State Government?,"The role of the Collector in disposing of lands declared as the property of the State Government is to act subject to the order of the Commissioner. The Collector has the authority to dispose of such lands in a manner prescribed by the State Government, always considering the rights of way and other rights of the public or individuals that legally exist."
10. How long can a person be detained in confinement by virtue of a warrant issued for recovery of papers or property according to the Code?,A person can be detained in confinement by virtue of a warrant issued for recovery of papers or property for a maximum period of one calendar month according to the Maharashtra Land Revenue Code.
"1. What is the Maharashtra Land Revenue Code, 1966 about?","The Maharashtra Land Revenue Code, 1966 deals with various aspects related to land revenue in the state of Maharashtra, India. It includes provisions regarding the extinction of public rights over public roads, lanes, or paths not required for public use, procedures for claiming property rights against the government, appeals and revisions related to orders passed by the Collector or survey officer, and the process for declaring government roads not needed for public use."
2. What is the process for extinguishing the rights of the public in or over a government road not required for public use?,"The process for extinguishing the rights of the public in or over a government road not required for public use involves the following steps:

1. The Collector may make a declaration through a notification published in the Official Gazette stating that the government road is not required for public use and propose that the rights of the public in or over the road be extinguished.

2. Public notice of this declaration should be given at convenient places on or near the government road, inviting objections to the proposal.

3. Members of the public or individuals with interests or rights in the government road can submit their objections in writing to the Collector within ninety days of the notification. They should detail their objections, the nature of their interests or rights, how they may be affected, and any claim for compensation.

4. The Collector must provide an opportunity for those who submitted objections to be heard, either in person or through a legal practitioner.

5. After hearing all relevant parties and considering the objections, the Collector will make a decision regarding the extinguishment of public rights over the government road, subject to any existing private rights and compensation claims."
3. Who has the authority to decide property rights claimed by or against the Government?,The Collector or a survey officer has the authority to decide property rights claimed by or against the Government.
4. What is the procedure for appealing or revising an order passed by the Collector or survey officer?,"The procedure for appealing or revising an order passed by the Collector or survey officer is as follows:

1. An order passed by the Collector or survey officer is subject to one appeal and revision in accordance with the provisions of the Maharashtra Land Revenue Code, 1966.
2. Any suit instituted in any civil court after the expiration of one year from the date of the order passed under sub-section (1) or sub-section (2) can be dismissed if the relief claimed is inconsistent with such order.
3. The plaintiff must have had due notice of the order to appeal or revise it.
4. The appeal or revision process must be conducted according to the rules and regulations set by the State Government.

If you need more specific details, it would be best to refer to the Maharashtra Land Revenue Code, 1966 for the exact procedures."
"5. How can a person be deemed to have had due notice of an inquiry or order under the Maharashtra Land Revenue Code, 1966?","A person can be deemed to have had due notice of an inquiry or order under the Maharashtra Land Revenue Code, 1966 if notice thereof has been given in accordance with rules made by the State Government."
6. What are the requirements for making objections to a proposal to extinguish public rights in a government road?,"To make objections to a proposal to extinguish public rights in a government road, the requirements include:
1. The objections must be stated in writing to the Collector within ninety days after the issue of the notification.
2. The objections should clearly outline the nature of the interest or right the person has in or over the government road.
3. The objections should explain how the proposal is likely to adversely affect the person's interest or right.
4. If seeking compensation, the objections should include details and particulars of the claim for compensation.
5. The Collector may allow objections to be made after the ninety-day period if there is a valid reason for the delay."
