Question,Answer
"1. What is the significance of the Maharashtra Land Revenue Code, 1966 in relation to the Madhya Pradesh Abolition of Proprietary Rights Act, 1950?","The Maharashtra Land Revenue Code, 1966 has provisions that relate to the Madhya Pradesh Abolition of Proprietary Rights Act, 1950. Specifically, it mentions that any land recorded as sir land before the date of vesting under the Madhya Pradesh Abolition of Proprietary Rights Act, 1950, shall not be liable to attachment or sale in execution of a decree for the recovery of any debt incurred before the date of vesting, except in certain circumstances. This indicates that the Maharashtra Land Revenue Code, 1966 provides protection for certain types of land ownership rights that were affected by the Madhya Pradesh Abolition of Proprietary Rights Act, 1950."
2. Under what circumstances is land recorded as sir land exempt from attachment or sale in execution of a court decree for debt recovery?,"Land recorded as sir land is exempt from attachment or sale in execution of a court decree for debt recovery if the debt was incurred before the date of vesting under the Madhya Pradesh Abolition of Proprietary Rights (Estates, Mahals, Alienated Lands) Act, 1950, except when the debt was validly secured by a mortgage of, or charge on, the cultivating rights in such sir land."
"3. How does the Maharashtra Land Revenue Code, 1966 protect the rights of individuals holding land under Bhumidhari tenure?","The Maharashtra Land Revenue Code, 1966 protects the rights of individuals holding land under Bhumidhari tenure by stating that no decree or order shall be passed for the sale or foreclosure of any right of a person in land held by them under Bhumidhari tenure. Additionally, it mentions that such rights cannot be attached or sold in execution of any decree or order, nor can a receiver be appointed to manage such holding."
"4. What is the general rule regarding the liability of all land to pay land revenue according to the Maharashtra Land Revenue Code, 1966?","According to the Maharashtra Land Revenue Code, 1966, the general rule is that all land, whether used for agricultural or other purposes, is liable to pay land revenue to the State Government unless exempted under specific circumstances such as special contracts, existing laws, or special grants from the State Government."
"5. How does the Maharashtra Land Revenue Code, 1966 address the assessment of land revenue in cases of diluvion?","The Maharashtra Land Revenue Code, 1966 addresses the assessment of land revenue in cases of diluvion by stating that every holder of land paying land revenue shall be entitled to a decrease of assessment if any portion of the land, not less than half an acre in extent, is lost by diluvion. The holder is liable for the payment of land revenue on the reappearance of the land lost by diluvion, provided it is not less than half an acre in extent."
"6. What provisions are in place for the assessment and alteration of land revenue under the Maharashtra Land Revenue Code, 1966?","Under the Maharashtra Land Revenue Code, 1966, the provisions for the assessment and alteration of land revenue include the following:

- Land revenue leviable on any land shall be assessed with reference to the use of the land for agriculture or residence.
- Holders of land paying land revenue are entitled to a decrease of assessment if any portion of their land is lost by diluvion.
- The assessment of land revenue is based on the purpose for which the land is used.
- The State Government may make rules regarding the assessment and alteration of land revenue.

These are some of the key provisions related to the assessment and alteration of land revenue under the Maharashtra Land Revenue Code, 1966."
"7. How does the Maharashtra Land Revenue Code, 1966 handle the assessment of land revenue based on the use of the land for agriculture or residence?","The Maharashtra Land Revenue Code, 1966 assesses the land revenue based on the use of the land for either agriculture or residence. The land revenue leviable on any land under the provisions of this Code is assessed with reference to the use of the land for the purpose of agriculture or for the purpose of residence."
"8. What privileges, conditions, or restrictions apply to alluvial lands, newly-formed islands, or abandoned river-beds that vest in the holder of alienated land under the Maharashtra Land Revenue Code, 1966?","All alluvial lands, newly-formed islands, or abandoned river-beds that vest in the holder of alienated land under the Maharashtra Land Revenue Code, 1966, are subject to the same privileges, conditions, or restrictions as the original holding in virtue of which they vested. Additionally, no land revenue shall be leviable in respect of any such lands, islands, or river-beds until or unless the area of the same exceeds one acre and also exceeds one-tenth of the area of the original holding."
"9. How does the Maharashtra Land Revenue Code, 1966 address the levy of revenue on all land under different titles as deemed necessary by the State Legislature?","The Maharashtra Land Revenue Code, 1966 addresses the levy of revenue on all land under different titles as deemed necessary by the State Legislature by stating that all land, whether applied to agricultural or other purposes, is liable to the payment of land revenue to the State Government as provided by or under the Code. It also mentions that the State Legislature has the power to direct the levy of revenue on all land under whatever title they may be held whenever and so long as the exigencies of the State may render such levy necessary."
"10. What protections are in place for holders of land paying land revenue in case of loss due to diluvion under the Maharashtra Land Revenue Code, 1966?","Under the Maharashtra Land Revenue Code, 1966, holders of land paying land revenue are entitled to a decrease in assessment if any portion of their land, not less than half an acre in extent, is lost due to diluvion. The holder is liable for the payment of land revenue on the reappearance of the lost land, provided it is not less than half an acre in extent. This protection ensures that landholders are not unfairly burdened by the loss of land due to natural causes like diluvion."
"1. According to the Maharashtra Land Revenue Code, 1966, what are the purposes for which land can be assessed?","According to the Maharashtra Land Revenue Code, 1966, land can be assessed for the purpose of industry, commerce, or any other purpose."
2. What happens if land assessed for agriculture is used for non-agricultural purposes or vice versa?,"If land assessed for agriculture is used for non-agricultural purposes or vice versa, the assessment fixed under the provisions of the Maharashtra Land Revenue Code, 1966 upon such land can be altered and assessed at a rate provided for under the Code in accordance with the purpose for which it is used or permitted to be used."
3. What is the process for fixing the assessment of land revenue on lands not wholly exempt from payment under the Code?,"The process for fixing the assessment of land revenue on lands not wholly exempt from payment under the Maharashtra Land Revenue Code involves the Collector fixing the assessment for a period not exceeding ninety-nine years as authorized by the State Government. The assessment can be revised by the Collector from time to time in accordance with rules set by the State Government. After the expiry of the fixed period, the assessment can be revised again for another period not exceeding ninety-nine years as specified by the State Government. If any land that was exempt from payment of land revenue loses its exemption, the Collector can fix the assessment on that land accordingly."
4. How long can the assessment of land revenue be fixed for lands not wholly exempt from payment?,The assessment of land revenue for lands not wholly exempt from payment can be fixed for a period not exceeding ninety-nine years as authorized by the State Government under its general or special orders.
5. What can the Collector do after the expiry of the period for which the assessment of any land is fixed under the Code?,"After the expiry of the period for which the assessment of any land is fixed under the Maharashtra Land Revenue Code, 1966, the Collector can revise the assessment in accordance with the rules made by the State Government. The revised assessment can be fixed each time for a period not exceeding ninety-nine years as specified by the State Government through general or special order."
6. How does the Code address the assessment of lands wholly exempt from the payment of land revenue?,"The Code addresses the assessment of lands wholly exempt from the payment of land revenue by allowing the Collector to determine and register the proper full assessment on such lands. This assessment will be leviable as soon as the exemption is withdrawn, and it will be deemed to be an assessment fixed under the relevant section of the Code."
7. What is the role of the State Government in fixing and revising the assessment of land revenue under the Code?,"The State Government plays a significant role in fixing and revising the assessment of land revenue under the Maharashtra Land Revenue Code, 1966. The State Government authorizes the Collector to fix the assessment for a period not exceeding ninety-nine years. Additionally, the State Government can specify the period for which the assessment can be revised after the expiry of the initial assessment period. The rules for fixing and revising assessments are made by the State Government."
8. How does the Code handle the assessment of land revenue on lands that have ceased to be exempt from payment?,"When any land that was wholly or partially exempt from the payment of land revenue has ceased to be exempt, the Collector is authorized to fix the assessment of the amount to be paid as land revenue on such land. This assessment will be effective from the date on which the land ceased to be exempt or any subsequent date deemed fit by the Collector. The assessment will be fixed in accordance with the rules made by the State Government."
"9. What rules govern the assessment of land revenue under the Maharashtra Land Revenue Code, 1966?","The assessment of land revenue under the Maharashtra Land Revenue Code, 1966 is governed by the rules made in this behalf as specified in the code."
10. How does the Code ensure that the assessment of land revenue is aligned with the purpose for which the land is used or permitted to be used?,"The Code ensures that the assessment of land revenue is aligned with the purpose for which the land is used or permitted to be used by allowing for the alteration of the assessment if the land is used for non-agricultural purposes, commerce, industry, or any other purpose. This means that if land assessed for one purpose is used for another purpose, the assessment can be altered to reflect the new use of the land. Additionally, if land held free of assessment on the condition of being used for a specific purpose is used for any other purpose, it becomes liable for assessment. The assessment is made in accordance with the rules specified in the Code."
"1. According to the Maharashtra Land Revenue Code, 1966, who is responsible for the settlement of assessment of land revenue?","According to the Maharashtra Land Revenue Code, 1966, the settlement of the assessment of land revenue is to be made with the person who is primarily responsible to the State Government for the same."
2. What is the rate for the use of water for agricultural purposes as per the provisions of the Code?,"The rate for the use of water for agricultural purposes as per the provisions of the Maharashtra Land Revenue Code, 1966 is one rupee only per year per holder."
