Question,Answer
1. What is the Maharashtra Land Revenue Code of 1966 and what does it govern?,"The Maharashtra Land Revenue Code of 1966 is a legal document that governs matters related to land revenue, land leasing, occupancy rights, and related legal proceedings in the state of Maharashtra, India. It outlines the rights and responsibilities of occupants, government lessees, and the State Government regarding land use, revenue payments, and leasing arrangements."
"2. What is the provision under Section 36BB regarding the appearance of pleaders in proceedings before the Collector, Commissioner, or State Government?","Section 36BB states that no pleader shall be entitled to appear on behalf of any party in any proceedings under sections 36, 36A, or 36B before the Collector, the Commissioner, or the State Government. However, there is an exception provided for minors, lunatics, or persons under disability, where their guardian or authorized agent may appear on their behalf in such proceedings."
"3. How does Section 36C restrict the jurisdiction of Civil Courts in settling questions related to sections 36, 36A, or 36B?","Section 36C restricts the jurisdiction of Civil Courts by stating that no Civil Court shall have the authority to settle, decide, or deal with any question that is required to be resolved by the Collector under sections 36, 36A, or 36B. This means that Civil Courts cannot intervene in matters that fall under the jurisdiction of the Collector as per these sections."
4. What are the conditions for an occupant to be entitled to the use and occupation of their land in perpetuity?,"An occupant is entitled to the use and occupation of their land in perpetuity conditionally on the payment of the amount due on account of the land revenue for the same, according to the provisions of the Maharashtra Land Revenue Code, 1966, or any rules made under this Code or any other law for the time being in force. Additionally, the occupant must fulfill any other terms or conditions lawfully annexed to their tenure."
5. Under what circumstances can the Collector lease unalienated unoccupied land to any person?,"The Collector can lease unalienated unoccupied land to any person under grant or contract for such period, purpose, and conditions as determined by the Collector, subject to rules made by the State Government in this regard."
6. What are the obligations of an occupant and a Government lessee in terms of paying land revenue according to the Maharashtra Land Revenue Code?,"According to the Maharashtra Land Revenue Code, every occupant is obligated to pay the assessment fixed as land revenue under the provisions of the Code and rules made thereunder. On the other hand, every Government lessee is required to pay the lease money fixed as land revenue under the terms of the lease."
7. How does Section 40 ensure that the State Government retains the right to dispose of any land owned by the government?,"Section 40 ensures that the State Government retains the right to dispose of any land owned by the government by stating that nothing in the Maharashtra Land Revenue Code, 1966, shall take away the right of the State Government to dispose of government-owned land on terms and conditions that it deems appropriate. This means that the State Government has the authority to determine how government-owned land is disposed of, ensuring its control and ownership over such lands."
"1. What are the entitlements of a holder of land assessed for agriculture according to the Maharashtra Land Revenue Code, 1966?","According to the Maharashtra Land Revenue Code, 1966, a holder of land assessed for agriculture is entitled to erect farm buildings, construct wells or tanks, or make any other improvements on the land for better cultivation or more convenient use for agricultural purposes."
"2. What requirements must be met before erecting any farm building or carrying out any work on land within specified limits as per the Maharashtra Land Revenue Code (Amendment) Act, 1986?","Before erecting any farm building or carrying out any work on land within specified limits as per the Maharashtra Land Revenue Code (Amendment) Act, 1986, the holder of the land or any other person involved must make an application to the Collector for permission. This application must be made in the prescribed form. The Collector may grant permission subject to certain terms and conditions as prescribed."
3. What is the process for obtaining permission to erect farm buildings or carry out work on land within specified limits as per the Maharashtra Land Revenue Code?,"To obtain permission to erect farm buildings or carry out work on land within specified limits as per the Maharashtra Land Revenue Code, the holder of the land or any other person involved must make an application in the prescribed form to the Collector. The Collector may grant permission subject to certain terms and conditions as prescribed. The application should be made before any erection of farm buildings or carrying out of work within the specified limits. The Collector has the authority to approve the permission based on the regulations outlined in the Code."
4. What are the limitations on the plinth area for farm buildings that can be erected with permission from the Collector under the Maharashtra Land Revenue Code?,"The limitations on the plinth area for farm buildings that can be erected with permission from the Collector under the Maharashtra Land Revenue Code are not explicitly mentioned in the provided context. To find the specific limits, one would need to refer to the prescribed terms and conditions as mentioned in the Code or related regulations."
5. What are the different categories of areas within which permission is required to erect farm buildings or carry out work as per the Maharashtra Land Revenue Code?,"The different categories of areas within which permission is required to erect farm buildings or carry out work as per the Maharashtra Land Revenue Code are:

1. Within the limits of the Municipal Corporation of Greater Bombay, the Corporation of the City of Pune, and the Corporation of the City of Nagpur, and the area within eight kilometers from the periphery of these limits.
2. Within the limits of any other Municipal Corporation and the area within five kilometers from the periphery of these limits.
3. Within the limits of the 'A' Class Municipal Councils and the area within three kilometers from the periphery of these limits.
4. Within the limits of the 'B' and 'C' Class Municipal Councils.
5. Within the area covered by the Regional Plan, Town Planning Scheme, or proposals for the development of land (within the notified area) or an area designated as the site of the new town."
1. What are the restrictions on the plinth area of farm buildings based on the size of the agricultural holding?,"The restrictions on the plinth area of farm buildings based on the size of the agricultural holding are as follows:
- If the area of the agricultural holding is between 0.4 and 0.6 hectares, the total plinth area of all farm buildings should not exceed 150 square meters.
- If the area of the agricultural holding is more than 0.6 hectares, the plinth area of all farm buildings should not exceed one-fortieth of the area of the agricultural holding or 400 square meters, whichever is less.
- If the farm buildings are intended for residential purposes, the plinth area should not exceed 150 square meters, regardless of the size of the agricultural holding."
2. Under what circumstances can farm buildings be used for residential purposes and what is the maximum allowed plinth area for such buildings?,"Farm buildings can be used for residential purposes if they are to be used for the residence of members of the family, servants, or tenants of the holder. In such cases, the maximum allowed plinth area for buildings used for residential purposes is 150 square meters, regardless of the size of the agricultural holding on which the buildings are proposed to be erected."
3. What are the conditions under which the Collector cannot grant permission for the erection of farm buildings?,"The conditions under which the Collector cannot grant permission for the erection of farm buildings are as follows:

1. If the area of the agricultural holding on which the building is proposed to be erected is less than 0.4 hectares.
2. If the height of the building from its plinth level exceeds 5 meters and the building consists of more than one floor.
3. For the erection of more than one farm building for each of the purposes referred to in clause (9) of section 2.
4. If the work of erection involves renewal, reconstruction, alterations, or additions to an existing farm building beyond the maximum limit of the plinth area specified in sub-section (3) or beyond the limit of the height of 5 meters from the plinth level and a ground floor."
4. How is the plinth area determined when multiple farm buildings are proposed to be erected on an agricultural holding?,"When multiple farm buildings are proposed to be erected on an agricultural holding, the plinth area is determined by calculating the aggregate of the plinth area of all such buildings."
5. How do the provisions of local laws and regulations apply to the construction of farm buildings within the limits of Municipal Corporations or Municipal Councils?,"The provisions of local laws and regulations, as well as any rules or bye-laws made under such laws, apply to the construction of farm buildings within the limits of Municipal Corporations or Municipal Councils. This includes Development Control Rules made under the Maharashtra Regional and Town Planning Act, 1966, or any rules made by the State or Central Government regarding building and control lines for different roads. These local laws and regulations will govern the permissions required and the specifications for construction within these areas."
1. What are the penalties or damages specified for using land for non-agricultural purposes in contravention of the provisions of section 42?,"The penalties or damages specified for using land for non-agricultural purposes in contravention of the provisions of section 42 are specified in section 43 or 45 or 46, as the case may be."
