Question,Answer
"1. What is the definition of ""relevant tenancy law"" in the Maharashtra Land Revenue Code, 1966?","The definition of ""relevant tenancy law"" in the Maharashtra Land Revenue Code, 1966 includes the following:
(a) In the Bombay area of the State of Maharashtra, the Bombay Tenancy and Agricultural Lands Act, 1948.
(b) In the Hyderabad area of the State of Maharashtra, the Hyderabad Tenancy and Agricultural Lands Act, 1950.
(c) In the Vidarbha Region of the State of Maharashtra, the Bombay Tenancy and Agricultural Lands (Vidarbha Region) Act, 1958."
"2. Who is considered a ""revenue officer"" according to the Code?","According to the Maharashtra Land Revenue Code, 1966, a ""revenue officer"" is defined as an officer of any rank whatsoever appointed under any of the provisions of the Code and employed in or about the business of the land revenue or of the surveys, assessment, accounts, or records connected therewith."
"3. How is a ""revenue year"" defined in the Maharashtra Land Revenue Code, 1966?","In the Maharashtra Land Revenue Code, 1966, a ""revenue year"" is defined as the year commencing on such date as the State Government may appoint by notification in the Official Gazette."
"4. What is the meaning of ""saza"" in the context of the Code?","In the context of the Maharashtra Land Revenue Code, 1966, ""saza"" means a group of villages in a taluka which is constituted as a saza under section 4 of the Code."
"5. What is the definition of a ""storage device"" as per the Code?","The definition of a ""storage device"" as per the Maharashtra Land Revenue Code, 1966 is: ""an Electronic Device for retention of data in computer and shall include both hardware and software."""
"6. Who is a ""Sub-Divisional Officer"" in the Maharashtra Land Revenue Code, 1966?","In the Maharashtra Land Revenue Code, 1966, a ""Sub-Divisional Officer"" is defined as an Assistant or Deputy Collector who is placed in charge of one or more sub-divisions of a district."
"7. What is a ""survey mark"" according to the Code?","According to the Maharashtra Land Revenue Code, 1966, a ""survey mark"" is a mark erected for the purposes of cadastral survey of land."
"8. How is a ""survey number"" defined in the Maharashtra Land Revenue Code, 1966?","In the Maharashtra Land Revenue Code, 1966, a ""survey number"" is defined as a portion of land of which the area and assessment are separately entered under an indicative number in the land records. This definition also includes plots reconstituted under final town planning schemes, improvement schemes, or schemes of consolidation of holdings that have come into force in any area under any law. Additionally, in specific districts like Nagpur, Wardha, Chanda, and Bhandara, any portion of land entered in the land records under an indicative number known as the khasra number is also considered a survey number."
9. Which areas in Maharashtra are covered under the relevant tenancy laws mentioned in the Code?,"The relevant tenancy laws mentioned in the Maharashtra Land Revenue Code, 1966 cover the following areas in Maharashtra:
- Bombay area of the State of Maharashtra
- Hyderabad area of the State of Maharashtra
- Vidarbha Region of the State of Maharashtra"
10. How are plots reconstituted under town planning schemes treated in the land records according to the Code?,Plots reconstituted under town planning schemes are treated in the land records under an indicative number as a survey number.
