Question,Answer
"1. What is the Maharashtra Land Revenue Code, 1966 about?","The Maharashtra Land Revenue Code, 1966 is a legal document that outlines regulations and procedures related to land revenue, survey, assessment, partition, and other land-related matters in the state of Maharashtra, India. It provides guidelines for the State Government to direct fresh surveys, revise assessments, enter survey numbers in records, partition holdings, and make divisions of survey numbers into new survey numbers or sub-divisions."
2. Under what circumstances can the State Government direct a fresh survey or any subsidiary operation?,"The State Government can direct a fresh survey or any operation subsidiary thereto at any time, especially when changes in the condition of the soil of an area or errors in classification necessitate reclassification."
"3. What are the provisions regarding the classification of soil in the Maharashtra Land Revenue Code, 1966?","The Maharashtra Land Revenue Code, 1966 allows for the State Government to direct a fresh survey or any operation subsidiary to it at any time. However, if a general classification of the soil of an area has been made a second time or an original classification has been approved as final, no reclassification can be made unless the State Government deems it necessary due to changes in soil conditions or errors in classification."
4. How are the area and assessment of survey numbers and sub-divisions recorded according to the rules made by the State Government?,The area and assessment of survey numbers and sub-divisions are recorded in such records as may be maintained under the rules made by the State Government in that behalf.
"5. How can a holding be partitioned according to the Maharashtra Land Revenue Code, 1966?","According to the Maharashtra Land Revenue Code, 1966, a holding can be partitioned in the following manner:

1. A holding may be partitioned on the decree of a civil court or any application of co-holders.
2. If there are more than one co-holder in a holding, any co-holder may apply to the Collector for a partition of their share.
3. The Collector may, after hearing the co-holder, divide the holding and apportion the assessment of the holding in accordance with the rules made by the State Government under the Code.
4. Expenses incurred in making the partition of a holding paying revenue to the State Government shall be recoverable as a revenue demand from the co-holders at whose request the partition is made, or from the persons interested in the partition."
6. What is the process for partitioning a holding with multiple co-holders?,"The process for partitioning a holding with multiple co-holders involves the following steps:

1. Any co-holder can apply to the Collector for a partition of their share in the holding.
2. The Collector, after hearing the co-holder, can divide the holding and apportion the assessment of the holding according to the rules set by the State Government.
3. If there is a question regarding title, no partition will be made until the question is decided by a civil suit.
4. Expenses incurred in making the partition can be recovered as a revenue demand from the co-holders requesting the partition or from the persons interested in the partition.

This process is subject to the provisions of the Bombay Prevention of Fragmentation and Consolidation of Holdings Act, 1947."
"7. How are expenses incurred in making a partition of a holding recovered according to the Maharashtra Land Revenue Code, 1966?","Expenses properly incurred in making a partition of a holding paying revenue to the State Government shall be recoverable as a revenue demand in such proportion as the Collector may think fit from the co-holders at whose request the partition is made, or from the persons interested in the partition."
"8. Under what circumstances can cultivable land be used for non-agricultural purposes according to the Maharashtra Land Revenue Code, 1966?","Cultivable land can be permitted to be used for non-agricultural purposes under the Maharashtra Land Revenue Code, 1966, when any portion of cultivable land is permitted to be used under the provisions of the Code for any non-agricultural purpose."
9. How can a portion of land be made into a separate survey number with the sanction of the Collector?,"A portion of land can be made into a separate survey number with the sanction of the Collector by following the provisions outlined in section 86 of the Maharashtra Land Revenue Code, 1966. This involves obtaining permission from the Collector when using cultivable land for non-agricultural purposes, specially assigning land under section 22, or altering the assessment of land. The Collector's approval is required to create a separate survey number for the designated portion of land."
"10. What are the provisions regarding the division of survey numbers into sub-divisions under the Maharashtra Land Revenue Code, 1966?","Under the Maharashtra Land Revenue Code, 1966, survey numbers may be divided into sub-divisions as required in view of the acquisition of rights in land or for any other reason. This division into sub-divisions is subject to the provisions of the Bombay Prevention of Fragmentation and Consolidation of Holdings Act, 1947."
