Question,Answer
1. What is the Maharashtra Land Revenue Code of 1966 primarily concerned with?,"The Maharashtra Land Revenue Code of 1966 is primarily concerned with the assessment and settlement of land revenue for lands used for non-agricultural purposes, as well as the regulation of lands within the sites of villages, towns, and cities."
2. How is the non-agricultural assessment of lands used for non-agricultural purposes determined according to the Code?,"The non-agricultural assessment of lands used for non-agricultural purposes is determined based on their non-agricultural use and with regard to urban and non-urban areas, as outlined in Section 109 of the Maharashtra Land Revenue Code, 1966."
3. What is the maximum percentage that non-agricultural assessment should not exceed in relation to the full market value of the land?,"The maximum percentage that non-agricultural assessment should not exceed in relation to the full market value of the land is three per cent, as stated in Section 112 of the Maharashtra Land Revenue Code, 1966."
4. What is the power of the collector in relation to fixing the standard rate of non-agricultural assessment?,"The power of the collector in relation to fixing the standard rate of non-agricultural assessment is mentioned in Section 113 of the Maharashtra Land Revenue Code, 1966. The collector has the authority to fix the standard rate of non-agricultural assessment."
5. How are lands exempt from payment of non-agricultural assessment determined?,"Lands exempt from payment of non-agricultural assessment are determined by the Collector as per Section 117 of the Maharashtra Land Revenue Code, 1966."
6. What is the procedure for determining non-agricultural assessment in urban areas according to the Code?,"The procedure for determining non-agricultural assessment in urban areas according to the Maharashtra Land Revenue Code, 1966 involves following the guidelines outlined in Section 111 of the Code. Unfortunately, the specific details of this procedure are not provided in the context provided."
"7. How are the limits of sites of villages, towns, and cities to be fixed under Chapter VIII of the Code?","Under Chapter VIII of the Maharashtra Land Revenue Code, the limits of sites of villages, towns, and cities are to be fixed by determining the boundaries of these areas. This involves the fixation and demarcation of boundaries, including village boundaries and field boundaries. Disputes regarding boundaries between villages, survey numbers, and sub-divisions are also addressed within this chapter."
8. What is the process for the fixation and demarcation of boundaries according to the Code?,"The process for the fixation and demarcation of boundaries according to the Maharashtra Land Revenue Code, 1966 involves Section 132 which deals with the fixation and demarcation of boundaries. This section likely outlines the procedures and guidelines for determining and marking boundaries, whether it's village boundaries, field boundaries, or resolving disputes regarding boundaries between villages, survey numbers, and sub-divisions."
"9. How are disputes regarding boundaries between villages, survey numbers, and sub-divisions resolved under the Code?","Disputes regarding boundaries between villages, survey numbers, and sub-divisions are resolved under the Maharashtra Land Revenue Code, 1966 by following the procedures outlined in Sections 132, 133, and 134. These sections provide guidelines for the fixation and demarcation of boundaries, the determination of village and field boundaries, and the resolution of disputes related to boundaries. The specific process for resolving such disputes would involve the authorities responsible for land revenue administration, as outlined in the relevant sections of the Code."
10. How does the Code address the grant of sanad (land ownership document) in relation to village sites?,"The Maharashtra Land Revenue Code, 1966 addresses the grant of sanad (land ownership document) in relation to village sites by specifying that the grant of sanad on alteration of holding should be without any extra charge. Additionally, the Code allows for the granting of duplicate sanads if needed."
