Question,Answer
1. What is the title of the government act mentioned in the text?,"The title of the government act mentioned in the text is the Maharashtra Land Revenue Code, 1966."
"2. What are some of the key sections included in the Maharashtra Land Revenue Code, 1966?","Some key sections included in the Maharashtra Land Revenue Code, 1966 are:

- Section 205: Notification before re-sale.
- Section 207: Application to set aside sale of immovables.
- Section 211: Refund of deposit or purchase money when sale set aside.
- Section 213: Bar of suit against certified purchaser.
- Section 217: Purchaser’s title.
- Section 224: Subordination of revenue officers.
- Section 227: Power to summon persons to give evidence and produce documents.
- Section 241: Power to enter upon and survey land."
3. How can a sale of immovables be set aside according to the act?,"A sale of immovables can be set aside according to the Maharashtra Land Revenue Code, 1966 by making an application to set aside the sale of immovables as per Section 207 of the act."
4. Under what circumstances can a purchaser apply to set aside a sale?,"A purchaser can apply to set aside a sale under certain circumstances as outlined in Section 209 of the Maharashtra Land Revenue Code, 1966. The specific circumstances are detailed in that section of the code."
5. What is the process for refunding deposit or purchase money when a sale is set aside?,"When a sale is set aside, the process for refunding the deposit or purchase money involves Section 211 of the Maharashtra Land Revenue Code, 1966. This section likely outlines the specific procedures and conditions under which the refund should be made to the party affected by the sale being set aside. It is advisable to refer to the specific details provided in Section 211 of the Maharashtra Land Revenue Code for the exact process."
6. What is the significance of a Certificate of purchase in the act?,"In the Maharashtra Land Revenue Code, 1966, a Certificate of purchase is significant as it is issued to the purchaser upon confirmation of the sale. This certificate serves as proof of the purchaser's ownership rights over the property acquired through the sale conducted under the provisions of the act. It establishes the legal title of the purchaser to the property and facilitates the process of putting the purchaser in possession of the property."
7. How are claims to attached property disposed of according to the act?,"Claims to attached property are disposed of according to the Maharashtra Land Revenue Code, 1966 by Section 218."
8. What is the procedure for revenue officers to summon persons to give evidence and produce documents?,"The procedure for revenue officers to summon persons to give evidence and produce documents is outlined in Section 227 of the Maharashtra Land Revenue Code, 1966. Revenue officers have the power to summon individuals to give evidence and produce documents. The summons must be in writing, signed, and sealed. The service of the summons should be carried out according to the specified procedures."
9. How are formal and summary inquiries conducted under the act?,"Formal inquiries under the Maharashtra Land Revenue Code, 1966 are conducted by following a specific mode of taking evidence, writing and explaining decisions, obtaining copies and translations, and ensuring that the process is deemed a judicial proceeding. On the other hand, summary inquiries are conducted in a more expedited manner, with specific guidelines on how they should be conducted. The code outlines the procedures for both types of inquiries to ensure a fair and efficient process."
10. What powers does the Collector have in order to evict any person wrongfully in possession of land?,"The Collector has the power to proceed in order to evict any person wrongfully in possession of land. This can include actions such as entering upon and surveying the land, as well as taking steps to evict the individual through legal means."
