Question,Answer
"1. What is the Maharashtra Land Revenue Code, 1966 about?","The Maharashtra Land Revenue Code, 1966 deals with various aspects related to land revenue, tenancy laws, and regulations regarding land occupancy in the state of Maharashtra. It includes provisions on the classification of occupants, restrictions on transfers of occupancy by Tribals, and the protection of Scheduled Tribes in relation to land ownership and transfers."
"2. How can an occupant be reclassified as Occupant-Class I under the Maharashtra Land Revenue Code, 1966?","An occupant can be reclassified as Occupant-Class I under the Maharashtra Land Revenue Code, 1966 by submitting an application through a cooperative society, the State Bank of India, the corresponding new Bank, or the Maharashtra State Financial Corporation. The Collector, upon receiving the application and payment of the prescribed premium, can reclassify the occupant as Occupant-Class I by issuing a written order. Once reclassified, the occupant will hold the occupancy of the land without any restrictions on transfer under the Code."
"3. Who can apply for the reclassification of an occupant under the Maharashtra Land Revenue Code, 1966?","The reclassification of an occupant under the Maharashtra Land Revenue Code, 1966 can be applied for by the co-operative society, the State Bank of India, the corresponding new Bank, or the Maharashtra State Financial Corporation."
"4. What is the definition of ""Scheduled Tribes"" as per the Maharashtra Land Revenue Code, 1966?","The definition of ""Scheduled Tribes"" as per the Maharashtra Land Revenue Code, 1966 includes tribes or tribal communities deemed to be Scheduled Tribes in relation to the State of Maharashtra under Article 342 of the Constitution of India. It also includes persons who belong to tribes or tribal communities specified in part VIIA of the Schedule to the Order made under Article 342, but who are not resident in the specified localities and still need protection under the Code."
"5. What restrictions are placed on the transfer of occupancy of a Tribal under the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974?","Under the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974, restrictions are placed on the transfer of occupancy of a Tribal. No occupancy of a Tribal can be transferred to a non-Tribal by way of sale, gift, exchange, mortgage, lease, or otherwise without the previous sanction of the Collector. The Collector must ensure that no Tribal residing in the village where the occupancy is located, or within five kilometers of it, is willing to take the occupancy before granting such sanction."
"6. Under what circumstances can a non-Tribal transfer occupancy of a Tribal under the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974?","A non-Tribal can transfer occupancy of a Tribal under the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974, only under the following circumstances:
- With the previous sanction of the Collector for a lease or mortgage for a period not exceeding 5 years.
- With the previous sanction of the Collector with the previous approval of the State Government for all other cases.
- The Collector must be satisfied that no Tribal residing in the village where the occupancy is located or within five kilometers thereof is willing to take the occupancy from the owner through lease, mortgage, sale, or otherwise."
"7. What is the role of the Collector in granting sanction for the transfer of occupancy of a Tribal under the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974?","The role of the Collector in granting sanction for the transfer of occupancy of a Tribal under the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974, is to ensure that the transfer is in compliance with the regulations set forth in the Act. The Collector must be satisfied that no Tribal residing in the village where the occupancy is located, or within five kilometers of it, is willing to take the occupancy before granting approval for the transfer to a non-Tribal. The Collector's approval is required for leases or mortgages up to five years, and for all other types of transfers, the approval of the Collector with the previous approval of the State Government is necessary."
"8. How can a Tribal residing in the village affect the transfer of occupancy under the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974?","A Tribal residing in the village can affect the transfer of occupancy under the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974, by having the right to take the occupancy from the owner on lease, mortgage, or by sale. The Act specifies that before any transfer of occupancy to a non-Tribal can occur, the Collector must ensure that no Tribal residing in the village or within five kilometers thereof is willing to take the occupancy. If a Tribal is prepared to take the occupancy, then the transfer to a non-Tribal cannot proceed without the Collector's approval."
"9. What sections were inserted by the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974?","Sections 36A, 36B, and 36C were inserted by the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974."
"10. What is the significance of the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974 in protecting Tribal rights?","The Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974 introduced Section 36A, which prohibits the transfer of occupancy of a Tribal person's land to a non-Tribal person without specific permissions. This act ensures that Tribal rights are protected by restricting the transfer of land through sale, gift, exchange, mortgage, lease, or any other means without the prior approval of the Collector or the State Government. The act aims to prevent the exploitation of Tribal land and resources by non-Tribal individuals or entities."
