Question,Answer
"1. According to the Maharashtra Land Revenue Code, 1966, what is the maximum price at which alluvial land can be offered to the occupant?","According to the Maharashtra Land Revenue Code, 1966, the maximum price at which alluvial land can be offered to the occupant shall not exceed three times the annual assessment thereof."
2. What happens if the occupant does not accept the offer for the alluvial land?,"If the occupant does not accept the offer for the alluvial land, the Collector may dispose of the land without any restrictions as to price."
3. How is an occupant's occupancy handled if they die intestate and without known heirs?,"If an occupant dies intestate and without known heirs, the Collector shall take possession of the occupancy and may lease it for a period of one year at a time. If within three years of the date on which the Collector takes possession of the occupancy, any claimant applies for the occupancy, being restored to him, the Collector may, after an inquiry, place such claimant in possession of the occupancy or reject his claim. The order of the Collector in this regard is not subject to appeal or revision, but the rejected claimant can file a suit within one year to establish his title. If no claimant appears within three years or if a claimant does not file a suit within one year, the Collector may sell the right of the deceased occupant in the occupancy by auction."
4. What options does a claimant have if their claim for an occupancy is rejected by the Collector?,"If a claimant's claim for an occupancy is rejected by the Collector, the claimant has the option to file a suit to establish their title within one year from the date of the communication of the order of the Collector. The Collector shall continue to lease out the land until the final decision of the suit."
"5. How is a sub-division of a survey number treated if it is relinquished under section 55 of the Maharashtra Land Revenue Code, 1966?","If a sub-division of a survey number is relinquished under section 55 of the Maharashtra Land Revenue Code, 1966, it is treated as Government waste land. The Collector will dispose of such sub-division in accordance with the provisions outlined in the code."
"1. According to the Maharashtra Land Revenue Code, 1966, what are the restrictions on the transferability and inheritability of occupancy?","According to the Maharashtra Land Revenue Code, 1966, occupancies are subject to certain restrictions on their transferability and inheritability. Occupancies are considered heritable and transferable properties subject to the provisions contained in section 72 and any conditions lawfully annexed to the tenure. However, occupancies of persons belonging to the Scheduled Tribes (referred to as the 'Tribals') shall not be transferred except with the previous sanction of the Collector. This restriction does not apply to transfers made in favor of persons other than the Tribals after the commencement of the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974."
2. How does the Collector handle the disposal of a sub-division of a survey number if all occupants refuse an offer?,"If all occupants refuse an offer for a sub-division of a survey number, the sub-division shall be disposed of by the Collector, subject to the rules made by the State Government in that behalf, in the manner provided by section 31."
3. What is the penalty for a former occupant applying for the restoration of occupancy of a sub-division after three years of default in payment of land revenue?,The penalty for a former occupant applying for the restoration of occupancy of a sub-division after three years of default in payment of land revenue is equal to three times the assessment.
4. What is the provision regarding the transfer of occupancies of persons belonging to Scheduled Tribes in the Maharashtra Land Revenue Code?,The provision regarding the transfer of occupancies of persons belonging to Scheduled Tribes in the Maharashtra Land Revenue Code states that occupancies of Scheduled Tribes shall not be transferred except with the previous sanction of the Collector. This is outlined in section 36(2) of the Maharashtra Land Revenue Code.
5. How can an occupant belonging to a Scheduled Tribe apply to be placed in possession of his occupancy if it has been transferred in contravention of the law?,An occupant belonging to a Scheduled Tribe can apply to be placed in possession of his occupancy if it has been transferred in contravention of the law by submitting an application to the Collector within thirty years of such transfer of possession. The Collector will then determine the acceptance of the liabilities for arrears of land revenue or any other dues according to the rules set by the State Government.
"1. What is the Maharashtra Land Revenue Code, 1966 about?","The Maharashtra Land Revenue Code, 1966 deals with various aspects related to land revenue, tenancy laws, and regulations in the state of Maharashtra, India. It includes provisions regarding the transfer of occupancy rights, restoration of land to tribal individuals, and the procedures followed by the Collector in handling such matters."
"2. What is the procedure for disposing of an application that forms a charge on a holding according to the Maharashtra Land Revenue Code, 1966?","According to the Maharashtra Land Revenue Code, 1966, the procedure for disposing of an application that forms a charge on a holding is to be done by the Collector in accordance with the procedure that may be prescribed."
"3. What action can the Collector take if a Tribal has transferred possession of their occupancy to a non-Tribal before the commencement of the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974?","If a Tribal has transferred possession of their occupancy to a non-Tribal before the commencement of the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974, the Collector can declare the transfer of the occupancy to be invalid. The Collector can then direct that the occupancy be taken from the possession of the non-Tribal and restored to the Tribal or their successor-in-interest."
4. What happens if a Tribal's occupancy has been transferred to a non-Tribal who was rendered landless due to the acquisition of his land for a public purpose before the commencement of the said Act?,"If a Tribal's occupancy has been transferred to a non-Tribal who was rendered landless due to the acquisition of his land for a public purpose before the commencement of the said Act, only half of the land involved in the transfer shall be restored to the Tribal."
5. What happens if a Tribal or his successor-in-interest expresses unwillingness to accept the restored occupancy as directed by the Collector?,"If a Tribal or his successor-in-interest expresses unwillingness to accept the restored occupancy as directed by the Collector, the Collector will, after holding an inquiry, declare in writing that the occupancy, along with any standing crops, shall be deemed to have been acquired and vested in the State Government."
"6. What entitlement does a non-Tribal have upon the vesting of the occupancy under sub-section (3A) according to the Maharashtra Land Revenue Code, 1966?","Upon the vesting of the occupancy under sub-section (3A) of the Maharashtra Land Revenue Code, 1966, a non-Tribal is entitled to receive from the State Government an amount equal to 48 times the assessment of the land plus the value of improvements made by the non-Tribal on the land. The value of improvements is determined by the Collector in the prescribed manner."
7. How does the Collector determine the value of improvements made by the non-Tribal on the land involved in the transfer of occupancy?,"The Collector determines the value of improvements made by the non-Tribal on the land involved in the transfer of occupancy by considering factors such as the labor and capital provided or spent on improvements, as well as the present condition of the improvements."
"1. What are the key provisions outlined in the Maharashtra Land Revenue Code, 1966 regarding the determination of improvements on land?","The key provisions outlined in the Maharashtra Land Revenue Code, 1966 regarding the determination of improvements on land include:

- Determining the value of improvements on the land based on factors like the nature of the improvements, the extent of the benefits to the land, and other prescribed factors.
- Apportioning the amount determined among non-Tribal individuals and persons claiming encumbrances on the land.
- Granting land vested in the State Government to other Tribals residing in the village or nearby areas who are willing to cultivate the land personally.
- Allowing Occupant—Class II to mortgage their property in favor of the State Government or other specified entities in consideration of a loan, with provisions for default remedies.

These are some of the key provisions related to the determination of improvements on land as outlined in the Maharashtra Land Revenue Code, 1966."
2. How does the Collector apportion the amount determined under sub-section (3B) among non-Tribal individuals and those claiming encumbrances on the land?,"The Collector apportions the amount determined under sub-section (3B) among non-Tribal individuals and those claiming encumbrances on the land in the following manner:
- If the total value of encumbrances on the land is less than the amount determined under sub-section (3B), the value of encumbrances shall be paid to the holder in full.
- If the total value of encumbrances on the land exceeds the amount determined under sub-section (3B), the amount shall be distributed amongst the holders of encumbrances in the order of priority."
3. Under what circumstances can the land vested in the State Government under sub-section (3A) be granted to another Tribal individual?,"The land vested in the State Government under sub-section (3A) can be granted to another Tribal individual if they are residing in the village where the land is situated or within five kilometers of it. Additionally, the individual must be willing to accept the occupancy in accordance with the provisions of the Maharashtra Land Revenue Code and the rules and orders made thereunder. The individual must also undertake to cultivate the land personally, ensuring that the total land held by them does not exceed an economic holding within the meaning of sub-section (6) of section 36A."
"4. Can an Occupant-Class II mortgage their property in favor of the State Government for a loan under certain acts mentioned in the text? If so, what are those acts?","Yes, an Occupant-Class II can mortgage their property in favor of the State Government for a loan under the Land Improvement Loan Act of 1883, the Agriculturists Loans Act of 1884, or the Bombay Non-Agriculturists Loans Act of 1928."
"5. What actions can the State Government or other financial institutions take in the event of an occupant defaulting on a loan granted under the Maharashtra Land Revenue Code, 1966?","In the event of an occupant defaulting on a loan granted under the Maharashtra Land Revenue Code, 1966, the State Government or other financial institutions can take legal actions such as seizing the property mortgaged by the occupant, as well as any other remedies available to them under the law."
"1. What is the Maharashtra Land Revenue Code, 1966 about?","The Maharashtra Land Revenue Code, 1966 deals with various aspects related to land revenue, tenancy laws, and regulations regarding land occupancy in the state of Maharashtra. It includes provisions on the classification of occupants, restrictions on transfers of occupancy by Tribals, and the protection of Scheduled Tribes in relation to land ownership and transfers."
"2. How can an occupant be reclassified as Occupant-Class I under the Maharashtra Land Revenue Code, 1966?","An occupant can be reclassified as Occupant-Class I under the Maharashtra Land Revenue Code, 1966 by submitting an application through a cooperative society, the State Bank of India, the corresponding new Bank, or the Maharashtra State Financial Corporation. The Collector, upon receiving the application and payment of the prescribed premium, can reclassify the occupant as Occupant-Class I by issuing a written order. Once reclassified, the occupant will hold the occupancy of the land without any restrictions on transfer under the Code."
"3. Who can apply for the reclassification of an occupant under the Maharashtra Land Revenue Code, 1966?","The reclassification of an occupant under the Maharashtra Land Revenue Code, 1966 can be applied for by the co-operative society, the State Bank of India, the corresponding new Bank, or the Maharashtra State Financial Corporation."
"4. What is the definition of ""Scheduled Tribes"" as per the Maharashtra Land Revenue Code, 1966?","The definition of ""Scheduled Tribes"" as per the Maharashtra Land Revenue Code, 1966 includes tribes or tribal communities deemed to be Scheduled Tribes in relation to the State of Maharashtra under Article 342 of the Constitution of India. It also includes persons who belong to tribes or tribal communities specified in part VIIA of the Schedule to the Order made under Article 342, but who are not resident in the specified localities and still need protection under the Code."
"5. What restrictions are placed on the transfer of occupancy of a Tribal under the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974?","Under the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974, restrictions are placed on the transfer of occupancy of a Tribal. No occupancy of a Tribal can be transferred to a non-Tribal by way of sale, gift, exchange, mortgage, lease, or otherwise without the previous sanction of the Collector. The Collector must ensure that no Tribal residing in the village where the occupancy is located, or within five kilometers of it, is willing to take the occupancy before granting such sanction."
"6. Under what circumstances can a non-Tribal transfer occupancy of a Tribal under the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974?","A non-Tribal can transfer occupancy of a Tribal under the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974, only under the following circumstances:
- With the previous sanction of the Collector for a lease or mortgage for a period not exceeding 5 years.
- With the previous sanction of the Collector with the previous approval of the State Government for all other cases.
- The Collector must be satisfied that no Tribal residing in the village where the occupancy is located or within five kilometers thereof is willing to take the occupancy from the owner through lease, mortgage, sale, or otherwise."
"7. What is the role of the Collector in granting sanction for the transfer of occupancy of a Tribal under the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974?","The role of the Collector in granting sanction for the transfer of occupancy of a Tribal under the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974, is to ensure that the transfer is in compliance with the regulations set forth in the Act. The Collector must be satisfied that no Tribal residing in the village where the occupancy is located, or within five kilometers of it, is willing to take the occupancy before granting approval for the transfer to a non-Tribal. The Collector's approval is required for leases or mortgages up to five years, and for all other types of transfers, the approval of the Collector with the previous approval of the State Government is necessary."
"8. How can a Tribal residing in the village affect the transfer of occupancy under the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974?","A Tribal residing in the village can affect the transfer of occupancy under the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974, by having the right to take the occupancy from the owner on lease, mortgage, or by sale. The Act specifies that before any transfer of occupancy to a non-Tribal can occur, the Collector must ensure that no Tribal residing in the village or within five kilometers thereof is willing to take the occupancy. If a Tribal is prepared to take the occupancy, then the transfer to a non-Tribal cannot proceed without the Collector's approval."
"9. What sections were inserted by the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974?","Sections 36A, 36B, and 36C were inserted by the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974."
"10. What is the significance of the Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974 in protecting Tribal rights?","The Maharashtra Land Revenue Code and Tenancy Laws (Amendment) Act, 1974 introduced Section 36A, which prohibits the transfer of occupancy of a Tribal person's land to a non-Tribal person without specific permissions. This act ensures that Tribal rights are protected by restricting the transfer of land through sale, gift, exchange, mortgage, lease, or any other means without the prior approval of the Collector or the State Government. The act aims to prevent the exploitation of Tribal land and resources by non-Tribal individuals or entities."
