Question,Answer
"1. What is the definition of ""standard rate"" as per the Maharashtra Land Revenue Code, 1966?","The definition of ""standard rate"" as per the Maharashtra Land Revenue Code, 1966 is the value (not exceeding one-twenty-fifth) of the average yield of crops per acre for a particular class of land of sixteen annas classification."
"2. How is ""land of sixteen annas classification"" determined in areas where the factor scale prevails?","In areas where the factor scale prevails, ""land of sixteen annas classification"" is determined based on the number of soil units in the factor scale corresponding to the sixteen annas classification as prescribed by the State Government."
"3. What is the definition of ""term of a settlement"" according to the Code?","The term ""term of a settlement"" is defined in the Maharashtra Land Revenue Code, 1966 as the period for which the State Government has declared that a settlement shall remain in force."
"4. How is a zone defined in the context of the Maharashtra Land Revenue Code, 1966?","In the context of the Maharashtra Land Revenue Code, 1966, a ""zone"" is defined as a local area comprising a taluka or a group of talukas or portions thereof, of one or more districts, which is contiguous and homogeneous in respect of physical configuration, climate and rainfall, principal crops grown in the local area, and soil characteristics."
5. What is the process that the State Government must follow before directing a settlement or fresh settlement of any land under section 92?,"Before directing a settlement or fresh settlement of any land under section 92, the State Government must follow the process outlined in section 91 of the Maharashtra Land Revenue Code, 1966. This process includes causing a forecast of the probable results of the settlement to be prepared, publishing a notice of intention to make the settlement along with proposals for determining or revising land revenue and the term of the settlement, sending the forecast and proposals to members of the State Legislature, allowing members to propose modifications, discussing any motions in each House, accepting resolutions in which both Houses concur, and taking into consideration objections received before directing the settlement."
6. What is the requirement for the State Government to publish proposals for the determination or revision of land revenue and the term for which the settlement is to be made?,The State Government is required to publish proposals for the determination or revision of land revenue and the term for which the settlement is to be made before directing a settlement or fresh settlement of any land under section 92. The proposals must be published for objections in a manner determined by the State Government.
7. How are forecast and proposals related to settlements communicated to members of the State Legislature?,The forecast and proposals related to settlements are communicated to every member of each of the two houses of the State Legislature by being despatched to them not less than twenty-one days before the commencement of a session.
8. What is the procedure for members of the State Legislature to make modifications to the proposals related to settlements?,Any member of the State Legislature desiring to make any modification in the proposals related to settlements shall give notice of motion not later than the opening day of the session. The State Government shall arrange for the discussion of such motion in each House.
9. How does the State Government consider resolutions and objections from both Houses of the State Legislature before directing a settlement?,The State Government considers resolutions and objections from both Houses of the State Legislature by accepting any resolution in which both Houses concur and taking into consideration any objections received from the persons concerned before directing the settlement.
"10. Under what circumstances can the State Government direct an original settlement or a revision settlement of land revenue according to the Maharashtra Land Revenue Code, 1966?","The State Government can direct an original settlement or a revision settlement of land revenue at any time, as per the Maharashtra Land Revenue Code, 1966. This can be done whether or not a revenue survey has been conducted. However, it is important to note that no enhancement of assessment can take effect before the expiration of the settlement currently in force."
"1. How long does a settlement remain in force according to the Maharashtra Land Revenue Code, 1966?","A settlement remains in force for a period of thirty years according to the Maharashtra Land Revenue Code, 1966."
2. How is the assessment of land revenue determined for lands that are not wholly exempt from payment?,"The assessment of land revenue on lands that are not wholly exempt from payment is determined by dividing the lands into groups and fixing standard rates for each group. This process is done in accordance with the rules set by the State Government. Various factors such as physical configuration, climate, rainfall, prices, yield of crops, markets, communications, standard of husbandry, population, agricultural resources, and other relevant considerations are taken into account when forming these groups and determining the standard rates."
3. What factors are taken into consideration when forming groups for land revenue assessment?,"The factors taken into consideration when forming groups for land revenue assessment include physical configuration, climate and rainfall, prices, yield of principal crops, markets, communications, standard of husbandry, population and supply of labor, agricultural resources, variations in the area of occupied and cultivated lands during the last thirty years, wages, and ordinary expenses of cultivating principal crops."
4. How is the land revenue assessment of individual survey numbers and subdivisions determined?,The land revenue assessment of individual survey numbers and subdivisions is fixed by the Settlement Officer based on their classification value in the prescribed manner.
5. What happens if improvements have been made to a land that increase the average yield of crops?,"If improvements have been made to a land that increase the average yield of crops, the increase in the average yield of crops due to those improvements shall not be taken into account when fixing the revised assessment of the land."
"6. What steps does the Settlement Officer follow when making a settlement according to the Maharashtra Land Revenue Code, 1966?","When making a settlement according to the Maharashtra Land Revenue Code, 1966, the Settlement Officer follows these steps:

1. Dividing the lands to be settled into groups as provided by section 94.
2. Ascertaining in the prescribed manner the average yield of crops of lands for the purposes of the settlement.
3. Fixing standard rates for each class of land in each group based on relevant matters as provided in subsection (2) of section 94."
"1. What is the process for submitting a settlement report under the Maharashtra Land Revenue Code, 1966?","The process for submitting a settlement report under the Maharashtra Land Revenue Code, 1966 involves the Settlement Officer holding an inquiry, submitting a report (settlement report) to the Collector with proposals for settlement, and the Collector causing the report to be published. Additionally, there is a provision for publishing a notice in each village stating the existing standard rate and any proposed changes, allowing for objections to be submitted in writing to the Collector within three months. After considering objections, the Collector forwards the report to the State Government, and there is a provision for aggrieved persons to apply to the State Government for reference to the Maharashtra Revenue Tribunal. The State Government then considers the settlement report, objections, and the Revenue Tribunal's opinion before passing an order."
2. How are objections to the settlement report handled by the Collector?,"After the submission of a settlement report, the Collector is required to publish the report in the prescribed manner. Additionally, the Collector must publish a notice in Marathi in each village stating the existing standard rate for each class of land, along with any proposed increase or decrease. This notice also allows any person to submit their objections in writing to the proposals contained in the settlement report within three months from the date of the notice. After considering these objections, the Collector forwards the settlement report with his remarks to the State Government for further action."
3. What is the role of the State Government in reviewing the settlement report and objections raised?,"The role of the State Government in reviewing the settlement report and objections raised is to consider the settlement report along with any objections received, the opinion of the Revenue Tribunal if there was a reference made, and then pass an order based on their assessment. The State Government may decide to make changes or pass orders as they deem fit after considering all the relevant information."
4. How can a person aggrieved by the settlement report published by the Collector seek redressal?,"A person aggrieved by the settlement report published by the Collector can seek redressal by applying to the State Government for reference to the Maharashtra Revenue Tribunal within two months from the date of the notice under sub-section (2) of section 97. Upon depositing the prescribed amount of costs, the State Government will direct the report to be sent to the Revenue Tribunal for inquiry. The Revenue Tribunal will then provide its opinion on the objections raised and other matters referred to it by the State Government."
