Question,Answer
" According to the Maharashtra Land Revenue Code, 1966, when must the full amount of purchase-money be paid by the purchaser?","The full amount of purchase-money must be paid by the purchaser before the expiration of two months from the date on which the sale of the immovable property took place or before the expiration of fifteen days from the date on which the intimation of confirmation of the sale is received by the purchaser, whichever is earlier."
 What happens if the purchaser fails to pay the full amount of purchase-money within the prescribed period?,"If the purchaser fails to pay the full amount of purchase-money within the prescribed period, the deposit, after defraying the expenses of the sale, will be forfeited to the State Government. The property will then be resold, and the defaulting purchaser will forfeit all claims to the property or to any part of the sum for which it may be subsequently sold. Additionally, if the proceeds of the resale are less than the price bid by the defaulting purchaser, the difference will be recoverable from the purchaser by the Collector as an arrear of land revenue."
 How can a sale of moveables be set aside according to the Code?,"A sale of moveables can be set aside according to the Maharashtra Land Revenue Code, 1966 if a person proves to the satisfaction of the Collector that they have sustained substantial injury by reason of some material irregularity or mistake in publishing or conducting the sale. This application must be made within seven days from the date of the sale."
" Within what timeframe can an application be made to the Collector to set aside the sale of immovable property due to irregularity, mistake, or fraud?","An application can be made to the Collector within thirty days from the date of sale of immovable property to set aside the sale due to irregularity, mistake, or fraud. Additionally, there is an extended timeframe of one hundred and eighty days for a defaulter who is a person belonging to a Scheduled Tribe or any person on his behalf to make such an application."
 What is the procedure if an application to set aside a sale of immovable property is allowed by the Collector?,"If an application to set aside a sale of immovable property is allowed by the Collector, the Collector will set aside the sale and direct a fresh one to take place."
 What is the consequence if no application is made to set aside a sale of immovable property within the specified timeframe?,"If no application is made to set aside a sale of immovable property within the specified timeframe, the Collector shall make an order confirming the sale."
 What provision was added by Mah. 35 of 1974 regarding the application to set aside a sale by a defaulter belonging to a Scheduled Tribe?,The provision added by Mah. 35 of 1974 regarding the application to set aside a sale by a defaulter belonging to a Scheduled Tribe is that such application may be made within one hundred and eighty days from the date of the sale.
 How does the Code address the liability of the purchaser for loss by resale?,"If the proceeds of the resale of the property are less than the price bid by the defaulting purchaser, the difference shall be recoverable from the defaulting purchaser by the Collector as an arrear of land revenue. This means that the defaulting purchaser is liable for the loss incurred by the resale of the property."
 What is the requirement for notification before the resale of property according to the Code?,"According to the Maharashtra Land Revenue Code, 1966, a notification must be issued before the resale of property in default of payment of the purchase-money. This notification must be made in the manner prescribed for the original sale."
 What action does the Collector take if no application is made to set aside a sale of immovable property within the specified timeframe?,"If no application is made to set aside a sale of immovable property within the specified timeframe, the Collector shall make an order confirming the sale."
